Country Name,Country Code,Series Name,Series Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Bangladesh,BGD,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-1.85256474309651,4.44314828187049,-0.499719453954711,1.21551714194426,2.10782449778249,0.669020607515705,1.46426835675177,1.07853905977662,-0.207285396718291,0.274083216745254,3.08698402350078,1.10664428897979,3.11422122259933,2.46558052677466,1.69041560413505,2.90124604682065,2.31962811240169,2.30668705583814,3.0146795128333,2.57420902747467,3.25749967913609,3.11380508371251,1.96038247387588,2.94185326595833,3.55336023330524,4.9658429129363,5.24453135143487,5.75342068854268,4.80617034598272,3.87850140942676,4.3909803668064,5.25309562973739,5.29824495849087,4.79440164181352,4.85610832403805,5.36878342333158,5.95091457759985,6.14210394847194,6.73701752220683,..
Bangladesh,BGD,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,1.15047072925853,9.17724038100562,2.11446636410508,5.1137134584576,4.61462391888305,2.28871226036462,4.478105078021,4.18333427468525,2.35531343150697,2.75855275451791,5.42984695996265,3.50747828116246,5.70604070893252,4.97047458623176,4.3401965059668,5.00387545417418,4.03939214966407,4.65357440798535,5.18061707157128,4.86180009949693,5.48355832378753,4.87253251074155,4.74451418067123,4.75520837096724,5.61595644569299,6.64594235916867,7.95744292320278,7.80427733551193,7.12613885877673,5.25641799500818,5.78301689795858,6.25362813327257,6.9794450610709,5.60840920089794,4.73563710977149,6.36091754125927,6.40841378347395,5.87780996445552,8.12312882212241,..
Bangladesh,BGD,GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,-1.5300160954084,6.33587009129401,-0.519068697687629,2.41655465675647,1.9239913076795,-0.357037581316774,1.76106631688688,1.47880394853841,-0.266667665904762,0.197998191007073,2.89919130996583,1.12838333308427,3.37176077503081,2.71893990989189,2.13095614018432,2.78632299875645,1.84629355433337,2.46694508404953,3.01819589962973,2.7620152257918,3.44408462947456,2.9128758919164,2.85533481653802,2.95722578146737,3.92375262166944,5.07421921515787,6.51286754768483,6.49000791720886,5.90584850554801,4.08744800360054,4.59983255262868,5.04473773570464,5.75099559329072,4.39386049027604,3.54574408871706,5.17917847183693,5.25349154864728,4.7507011979683,6.99372767847674,..
Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.81914186889891,7.23394369490723,2.13432783577075,3.88104639981715,4.80331001525438,3.34201465415414,4.173382559004,3.77240185252705,2.41625685566223,2.83658212907926,5.62225816160702,3.4852278153552,5.44268555072129,4.71156172449447,3.89012644065643,5.12127789716162,4.52291921762344,4.48989649735631,5.17702687345256,4.67015636827865,5.2932947184604,5.07728777597312,3.83312394005608,4.73956739916446,5.2395329104527,6.53594494052352,6.67190498148148,7.0585993565727,6.01378975923306,5.04512479417738,5.57180227396866,6.46438388047517,6.52143507837333,6.01361036536019,6.06105935903958,6.55265279631962,7.1134894741232,7.28418409195113,7.86370889257542,..
Bangladesh,BGD,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,0.955083044661535,-31.7670064837084,-4.45574730289417,9.23592992527948,-0.944640129409208,7.89877182697374,-1.14929958560751,1.90038375962828,10.6796267604233,8.90118345341233,17.7864276285277,-3.0915481577823,21.8455918654867,16.3929160925405,3.67836908341128,30.7241067939503,8.07539454663082,14.3177789214845,12.2675487412929,2.25068924225123,14.3981567221901,14.9038896480795,-0.164097463948281,-1.6963855821753,85.6133121091721,43.0012670580822,25.4763097823061,12.9756030771259,7.08060928834814,0.0285044789758473,0.941532182024659,29.3391247489608,12.5322586857715,2.45188433700577,3.20114927328234,-2.82999016676044,2.1967496434186,-2.34261400488313,8.08833858860216,..
Bangladesh,BGD,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,33.4382991721199,-52.5114973771765,9.40447231100075,-4.14742247327514,-6.46824232460284,7.24193650401965,-4.15855473175178,5.70178850305092,7.49271051507017,15.0471272066181,9.31270816836935,-15.017444094022,-8.79066344136147,37.4189061866458,-6.11108229054398,48.3963952298408,14.1095606216238,3.04121616128769,4.47097064322963,2.30557779153891,10.2339246037897,12.8486289215522,-4.84742393448946,8.5495483416327,84.7494872546147,38.0627867672325,18.1904487333975,15.9860351351274,-1.90123251918443,-2.59965497604931,0.686454981054567,29.1529647046567,10.518559168507,1.21815154685862,1.16832386573525,3.20270518169889,-7.09188462143744,2.87548287249729,27.0124667365153,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 04/09/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
